Company Name,Industry,Symbol,Series,ISIN Code,_symbol_norm,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,index_name,is_mapped
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,MAXHEALTH,5728513,22377,MAXHEALTH,MAX HEALTHCARE INS,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NTPC,2977281,11630,NTPC,NTPC,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,NESTLEIND,4598529,17963,NESTLEIND,NESTLE INDIA,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,ONGC,633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,POWERGRID,3834113,14977,POWERGRID,POWER GRID CORP.,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,RELIANCE,738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,SBILIFE,5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,SHRIRAMFIN,1102337,4306,SHRIRAMFIN,SHRIRAM FINANCE,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,SBIN,779521,3045,SBIN,STATE BANK OF INDIA,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,SUNPHARMA,857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,TCS,2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,TATACONSUM,878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,TMPV,884737,3456,TMPV,TATA MOTORS PASS VEH,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,TATASTEEL,895745,3499,TATASTEEL,TATA STEEL,0,,0.0,0.01,1,EQ,NSE,NSE,NIFTY50,True
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,TECHM,3465729,13538,TECHM,TECH MAHINDRA,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,TITAN,897537,3506,TITAN,TITAN COMPANY,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,TRENT,502785,1964,TRENT,TRENT,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,ULTRACEMCO,2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,,0.0,1.0,1,EQ,NSE,NSE,NIFTY50,True
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,WIPRO,969473,3787,WIPRO,WIPRO,0,,0.0,0.01,1,EQ,NSE,NSE,NIFTY50,True
